Source,Target,Type,Kind,Id,Label,Weight
0,1,Undirected,original,1,original,16.0
0,3,Undirected,original,2,original,8.0
0,5,Undirected,original,3,original,1.0
0,7,Undirected,original,4,original,8.0
0,8,Undirected,original,5,original,1.0
0,9,Undirected,original,6,original,5.0
0,10,Undirected,original,7,original,2.0
0,12,Undirected,original,8,original,1.0
0,14,Undirected,original,9,original,3.0
0,15,Undirected,original,10,original,2.0
0,17,Undirected,original,11,original,13.0
0,18,Undirected,original,12,original,3.0
0,20,Undirected,original,13,original,11.0
0,26,Undirected,original,14,original,19.0
0,28,Undirected,original,15,original,1.0
0,29,Undirected,original,16,original,1.0
0,33,Undirected,original,17,original,2.0
0,36,Undirected,original,18,original,39.0
0,38,Undirected,original,19,original,7.0
0,39,Undirected,original,20,original,9.0
0,40,Undirected,original,21,original,1.0
0,46,Undirected,original,22,original,16.0
0,47,Undirected,original,23,original,1.0
0,51,Undirected,original,24,original,3.0
0,52,Undirected,original,25,original,9.0
0,53,Undirected,original,26,original,5.0
0,56,Undirected,original,27,original,4.0
0,57,Undirected,original,28,original,15.0
0,58,Undirected,original,29,original,12.0
0,59,Undirected,original,30,original,1.0
0,60,Undirected,original,31,original,17.0
0,61,Undirected,original,32,original,5.0
0,66,Undirected,original,33,original,2.0
0,67,Undirected,original,34,original,3.0
0,69,Undirected,original,35,original,12.0
0,70,Undirected,original,36,original,3.0
0,73,Undirected,original,37,original,6.0
0,74,Undirected,original,38,original,3.0
0,79,Undirected,original,39,original,1.0
0,80,Undirected,original,40,original,23.0
0,87,Undirected,original,41,original,1.0
0,88,Undirected,original,42,original,11.0
0,92,Undirected,original,43,original,11.0
0,93,Undirected,original,44,original,1.0
0,102,Undirected,original,45,original,9.0
0,103,Undirected,original,46,original,6.0
0,104,Undirected,original,47,original,2.0
0,106,Undirected,original,48,original,5.0
0,107,Undirected,original,49,original,5.0
0,108,Undirected,original,50,original,1.0
0,110,Undirected,original,51,original,4.0
0,111,Undirected,original,52,original,10.0
0,112,Undirected,original,53,original,22.0
0,113,Undirected,original,54,original,1.0
0,115,Undirected,original,55,original,3.0
0,117,Undirected,original,56,original,10.0
0,119,Undirected,original,57,original,15.0
0,122,Undirected,original,58,original,1.0
0,123,Undirected,original,59,original,15.0
0,124,Undirected,original,60,original,4.0
0,126,Undirected,original,61,original,1.0
0,127,Undirected,original,62,original,18.0
0,130,Undirected,original,63,original,4.0
0,131,Undirected,original,64,original,1.0
0,134,Undirected,original,65,original,2.0
0,136,Undirected,original,66,original,1.0
0,138,Undirected,original,67,original,1.0
0,141,Undirected,original,68,original,1.0
0,142,Undirected,original,69,original,2.0
1,2,Undirected,original,70,original,2.0
1,7,Undirected,original,71,original,8.0
1,8,Undirected,original,72,original,2.0
1,9,Undirected,original,73,original,5.0
1,10,Undirected,original,74,original,2.0
1,12,Undirected,original,75,original,1.0
1,18,Undirected,original,76,original,5.0
1,20,Undirected,original,77,original,4.0
1,33,Undirected,original,78,original,1.0
1,35,Undirected,original,79,original,8.0
1,36,Undirected,original,80,original,14.0
1,38,Undirected,original,81,original,3.0
1,46,Undirected,original,82,original,2.0
1,50,Undirected,original,83,original,5.0
1,51,Undirected,original,84,original,4.0
1,53,Undirected,original,85,original,8.0
1,56,Undirected,original,86,original,10.0
1,58,Undirected,original,87,original,14.0
1,61,Undirected,original,88,original,2.0
1,67,Undirected,original,89,original,16.0
1,69,Undirected,original,90,original,9.0
1,70,Undirected,original,91,original,10.0
1,73,Undirected,original,92,original,6.0
1,74,Undirected,original,93,original,5.0
1,75,Undirected,original,94,original,4.0
1,80,Undirected,original,95,original,24.0
1,86,Undirected,original,96,original,1.0
1,88,Undirected,original,97,original,10.0
1,90,Undirected,original,98,original,10.0
1,94,Undirected,original,99,original,1.0
1,106,Undirected,original,100,original,7.0
1,107,Undirected,original,101,original,1.0
1,109,Undirected,original,102,original,1.0
1,110,Undirected,original,103,original,8.0
1,112,Undirected,original,104,original,17.0
1,119,Undirected,original,105,original,2.0
1,122,Undirected,original,106,original,3.0
1,123,Undirected,original,107,original,14.0
1,124,Undirected,original,108,original,3.0
1,126,Undirected,original,109,original,1.0
1,130,Undirected,original,110,original,5.0
1,131,Undirected,original,111,original,1.0
1,134,Undirected,original,112,original,3.0
1,136,Undirected,original,113,original,1.0
1,141,Undirected,original,114,original,5.0
1,142,Undirected,original,115,original,5.0
2,7,Undirected,original,116,original,1.0
2,10,Undirected,original,117,original,1.0
2,18,Undirected,original,118,original,2.0
2,33,Undirected,original,119,original,1.0
2,36,Undirected,original,120,original,2.0
2,51,Undirected,original,121,original,1.0
2,56,Undirected,original,122,original,5.0
2,72,Undirected,original,123,original,2.0
2,80,Undirected,original,124,original,2.0
2,88,Undirected,original,125,original,1.0
2,97,Undirected,original,126,original,1.0
2,110,Undirected,original,127,original,1.0
2,113,Undirected,original,128,original,1.0
2,121,Undirected,original,129,original,1.0
2,124,Undirected,original,130,original,2.0
2,126,Undirected,original,131,original,1.0
2,130,Undirected,original,132,original,2.0
2,134,Undirected,original,133,original,1.0
2,136,Undirected,original,134,original,1.0
2,141,Undirected,original,135,original,2.0
2,142,Undirected,original,136,original,1.0
3,5,Undirected,original,137,original,1.0
3,10,Undirected,original,138,original,2.0
3,14,Undirected,original,139,original,3.0
3,15,Undirected,original,140,original,9.0
3,17,Undirected,original,141,original,17.0
3,20,Undirected,original,142,original,2.0
3,26,Undirected,original,143,original,1.0
3,28,Undirected,original,144,original,5.0
3,36,Undirected,original,145,original,7.0
3,38,Undirected,original,146,original,3.0
3,39,Undirected,original,147,original,20.0
3,40,Undirected,original,148,original,1.0
3,46,Undirected,original,149,original,2.0
3,52,Undirected,original,150,original,5.0
3,56,Undirected,original,151,original,1.0
3,57,Undirected,original,152,original,1.0
3,58,Undirected,original,153,original,2.0
3,59,Undirected,original,154,original,1.0
3,60,Undirected,original,155,original,3.0
3,70,Undirected,original,156,original,1.0
3,75,Undirected,original,157,original,1.0
3,79,Undirected,original,158,original,10.0
3,80,Undirected,original,159,original,1.0
3,87,Undirected,original,160,original,3.0
3,88,Undirected,original,161,original,1.0
3,90,Undirected,original,162,original,1.0
3,92,Undirected,original,163,original,2.0
3,93,Undirected,original,164,original,1.0
3,101,Undirected,original,165,original,1.0
3,102,Undirected,original,166,original,1.0
3,103,Undirected,original,167,original,9.0
3,104,Undirected,original,168,original,6.0
3,108,Undirected,original,169,original,1.0
3,111,Undirected,original,170,original,16.0
3,113,Undirected,original,171,original,1.0
3,115,Undirected,original,172,original,1.0
3,119,Undirected,original,173,original,17.0
3,121,Undirected,original,174,original,2.0
3,124,Undirected,original,175,original,9.0
3,125,Undirected,original,176,original,3.0
3,130,Undirected,original,177,original,2.0
3,131,Undirected,original,178,original,3.0
3,134,Undirected,original,179,original,1.0
3,138,Undirected,original,180,original,1.0
3,139,Undirected,original,181,original,1.0
4,13,Undirected,original,182,original,1.0
4,22,Undirected,original,183,original,5.0
4,38,Undirected,original,184,original,1.0
