\bf contact-high-school 	&23.908 	&2.327 	&55.633 	&0.504 	&0.582 	&0.751\\
Hyperlap 	&23.938 + 0.040 	&2.327 + 0.000 	&55.701 + 0.093 	&0.341 + 0.004 	&0.394 + 0.006 	&0.622 + 0.004\\
Hyperlap+ 	&23.908 + 0.000 	&2.327 + 0.000 	&55.633 + 0.000 	&0.632 + 0.005 	&0.742 + 0.001 	&0.747 + 0.001\\
HyperPLR 	&24.055 + 0.000 	&2.703 + 0.003 	&65.011 + 0.073 	&0.471 + 0.000 	&0.556 + 0.000 	&0.649 + 0.003\\
\bf contact-primary-school 	&52.496 	&2.419 	&126.979 	&0.526 	&0.274 	&0.634\\
Hyperlap 	&52.496 + 0.000 	&2.419 + 0.000 	&126.979 + 0.000 	&0.496 + 0.001 	&0.281 + 0.003 	&0.620 + 0.002\\
Hyperlap+ 	&52.496 + 0.000 	&2.419 + 0.000 	&126.979 + 0.000 	&0.655 + 0.023 	&0.496 + 0.001 	&0.640 + 0.026\\
HyperPLR 	&52.714 + 0.000 	&2.648 + 0.004 	&139.593 + 0.217 	&0.491 + 0.000 	&0.281 + 0.002 	&0.600 + 0.002\\
\bf email-Enron 	&10.573 	&3.009 	&31.818 	&0.593 	&0.347 	&0.660\\
Hyperlap 	&10.232 + 0.039 	&3.131 + 0.000 	&32.034 + 0.123 	&0.646 + 0.009 	&0.275 + 0.046 	&0.576 + 0.011\\
Hyperlap+ 	&10.203 + 0.000 	&3.131 + 0.000 	&31.944 + 0.000 	&0.841 + 0.013 	&0.582 + 0.008 	&0.738 + 0.002\\
HyperPLR 	&10.723 + 0.000 	&3.244 + 0.035 	&34.782 + 0.378 	&0.593 + 0.001 	&0.351 + 0.003 	&0.569 + 0.002\\
\bf email-Eu 	&25.077 	&3.426 	&85.909 	&0.492 	&0.372 	&0.680\\
Hyperlap 	&25.778 + 0.124 	&3.621 + 0.000 	&93.338 + 0.450 	&0.623 + 0.002 	&0.280 + 0.008 	&0.571 + 0.004\\
Hyperlap+ 	&25.860 + 0.124 	&3.621 + 0.000 	&93.633 + 0.450 	&0.785 + 0.004 	&0.745 + 0.001 	&0.751 + 0.003\\
HyperPLR 	&29.081 + 0.051 	&3.135 + 0.014 	&91.155 + 0.540 	&0.446 + 0.003 	&0.319 + 0.001 	&0.493 + 0.005\\
\bf NDC-classes 	&0.937 	&5.922 	&5.550 	&0.611 	&0.607 	&0.743\\
Hyperlap 	&1.089 + 0.015 	&6.166 + 0.000 	&6.718 + 0.094 	&0.672 + 0.010 	&0.456 + 0.019 	&0.575 + 0.021\\
Hyperlap+ 	&1.098 + 0.008 	&6.166 + 0.000 	&6.767 + 0.051 	&0.750 + 0.005 	&0.793 + 0.051 	&0.836 + 0.029\\
HyperPLR 	&1.210 + 0.015 	&5.501 + 0.078 	&6.655 + 0.167 	&0.791 + 0.010 	&0.623 + 0.005 	&0.733 + 0.004\\
