Source,Target,Type,Kind,Id,Label,Weight
0,1,Undirected,rank-8,1,rank-8,15.0
0,3,Undirected,rank-8,2,rank-8,10.0
0,5,Undirected,rank-8,3,rank-8,13.0
0,7,Undirected,rank-8,4,rank-8,10.0
0,8,Undirected,rank-8,5,rank-8,1.0
0,9,Undirected,rank-8,6,rank-8,4.0
0,10,Undirected,rank-8,7,rank-8,7.0
0,12,Undirected,rank-8,8,rank-8,3.0
0,14,Undirected,rank-8,9,rank-8,5.0
0,15,Undirected,rank-8,10,rank-8,2.0
0,17,Undirected,rank-8,11,rank-8,9.0
0,18,Undirected,rank-8,12,rank-8,3.0
0,20,Undirected,rank-8,13,rank-8,21.0
0,26,Undirected,rank-8,14,rank-8,7.0
0,28,Undirected,rank-8,15,rank-8,2.0
0,29,Undirected,rank-8,16,rank-8,2.0
0,33,Undirected,rank-8,17,rank-8,5.0
0,36,Undirected,rank-8,18,rank-8,41.0
0,38,Undirected,rank-8,19,rank-8,10.0
0,39,Undirected,rank-8,20,rank-8,6.0
0,40,Undirected,rank-8,21,rank-8,6.0
0,46,Undirected,rank-8,22,rank-8,15.0
0,47,Undirected,rank-8,23,rank-8,7.0
0,51,Undirected,rank-8,24,rank-8,5.0
0,52,Undirected,rank-8,25,rank-8,10.0
0,53,Undirected,rank-8,26,rank-8,12.0
0,56,Undirected,rank-8,27,rank-8,25.0
0,57,Undirected,rank-8,28,rank-8,13.0
0,58,Undirected,rank-8,29,rank-8,30.0
0,60,Undirected,rank-8,30,rank-8,19.0
0,61,Undirected,rank-8,31,rank-8,8.0
0,66,Undirected,rank-8,32,rank-8,4.0
0,67,Undirected,rank-8,33,rank-8,3.0
0,69,Undirected,rank-8,34,rank-8,9.0
0,70,Undirected,rank-8,35,rank-8,15.0
0,73,Undirected,rank-8,36,rank-8,17.0
0,74,Undirected,rank-8,37,rank-8,3.0
0,79,Undirected,rank-8,38,rank-8,3.0
0,80,Undirected,rank-8,39,rank-8,25.0
0,87,Undirected,rank-8,40,rank-8,3.0
0,88,Undirected,rank-8,41,rank-8,12.0
0,92,Undirected,rank-8,42,rank-8,10.0
0,93,Undirected,rank-8,43,rank-8,1.0
0,102,Undirected,rank-8,44,rank-8,8.0
0,103,Undirected,rank-8,45,rank-8,9.0
0,104,Undirected,rank-8,46,rank-8,2.0
0,106,Undirected,rank-8,47,rank-8,10.0
0,107,Undirected,rank-8,48,rank-8,6.0
0,108,Undirected,rank-8,49,rank-8,1.0
0,110,Undirected,rank-8,50,rank-8,6.0
0,111,Undirected,rank-8,51,rank-8,10.0
0,112,Undirected,rank-8,52,rank-8,18.0
0,113,Undirected,rank-8,53,rank-8,7.0
0,115,Undirected,rank-8,54,rank-8,6.0
0,117,Undirected,rank-8,55,rank-8,2.0
0,119,Undirected,rank-8,56,rank-8,15.0
0,122,Undirected,rank-8,57,rank-8,9.0
0,123,Undirected,rank-8,58,rank-8,25.0
0,124,Undirected,rank-8,59,rank-8,8.0
0,126,Undirected,rank-8,60,rank-8,5.0
0,127,Undirected,rank-8,61,rank-8,7.0
0,130,Undirected,rank-8,62,rank-8,10.0
0,131,Undirected,rank-8,63,rank-8,4.0
0,134,Undirected,rank-8,64,rank-8,8.0
0,136,Undirected,rank-8,65,rank-8,3.0
0,138,Undirected,rank-8,66,rank-8,1.0
0,141,Undirected,rank-8,67,rank-8,2.0
0,142,Undirected,rank-8,68,rank-8,3.0
1,2,Undirected,rank-8,69,rank-8,5.0
1,7,Undirected,rank-8,70,rank-8,9.0
1,8,Undirected,rank-8,71,rank-8,2.0
1,9,Undirected,rank-8,72,rank-8,7.0
1,10,Undirected,rank-8,73,rank-8,6.0
1,12,Undirected,rank-8,74,rank-8,1.0
1,18,Undirected,rank-8,75,rank-8,5.0
1,20,Undirected,rank-8,76,rank-8,7.0
1,33,Undirected,rank-8,77,rank-8,5.0
1,35,Undirected,rank-8,78,rank-8,8.0
1,36,Undirected,rank-8,79,rank-8,17.0
1,38,Undirected,rank-8,80,rank-8,4.0
1,46,Undirected,rank-8,81,rank-8,4.0
1,50,Undirected,rank-8,82,rank-8,5.0
1,51,Undirected,rank-8,83,rank-8,4.0
1,53,Undirected,rank-8,84,rank-8,7.0
1,56,Undirected,rank-8,85,rank-8,19.0
1,58,Undirected,rank-8,86,rank-8,21.0
1,67,Undirected,rank-8,87,rank-8,15.0
1,69,Undirected,rank-8,88,rank-8,8.0
1,70,Undirected,rank-8,89,rank-8,9.0
1,73,Undirected,rank-8,90,rank-8,14.0
1,74,Undirected,rank-8,91,rank-8,4.0
1,80,Undirected,rank-8,92,rank-8,25.0
1,86,Undirected,rank-8,93,rank-8,2.0
1,88,Undirected,rank-8,94,rank-8,10.0
1,90,Undirected,rank-8,95,rank-8,9.0
1,94,Undirected,rank-8,96,rank-8,7.0
1,106,Undirected,rank-8,97,rank-8,7.0
1,107,Undirected,rank-8,98,rank-8,1.0
1,109,Undirected,rank-8,99,rank-8,2.0
1,110,Undirected,rank-8,100,rank-8,6.0
1,112,Undirected,rank-8,101,rank-8,14.0
1,119,Undirected,rank-8,102,rank-8,2.0
1,122,Undirected,rank-8,103,rank-8,3.0
1,123,Undirected,rank-8,104,rank-8,12.0
1,124,Undirected,rank-8,105,rank-8,5.0
1,126,Undirected,rank-8,106,rank-8,1.0
1,130,Undirected,rank-8,107,rank-8,19.0
1,131,Undirected,rank-8,108,rank-8,1.0
1,134,Undirected,rank-8,109,rank-8,4.0
1,136,Undirected,rank-8,110,rank-8,6.0
1,141,Undirected,rank-8,111,rank-8,9.0
1,142,Undirected,rank-8,112,rank-8,11.0
2,7,Undirected,rank-8,113,rank-8,2.0
2,10,Undirected,rank-8,114,rank-8,2.0
2,18,Undirected,rank-8,115,rank-8,3.0
2,33,Undirected,rank-8,116,rank-8,1.0
2,36,Undirected,rank-8,117,rank-8,7.0
2,51,Undirected,rank-8,118,rank-8,3.0
2,56,Undirected,rank-8,119,rank-8,11.0
2,72,Undirected,rank-8,120,rank-8,2.0
2,80,Undirected,rank-8,121,rank-8,3.0
2,88,Undirected,rank-8,122,rank-8,2.0
2,97,Undirected,rank-8,123,rank-8,2.0
2,110,Undirected,rank-8,124,rank-8,1.0
2,113,Undirected,rank-8,125,rank-8,3.0
2,121,Undirected,rank-8,126,rank-8,3.0
2,124,Undirected,rank-8,127,rank-8,3.0
2,126,Undirected,rank-8,128,rank-8,2.0
2,130,Undirected,rank-8,129,rank-8,6.0
2,134,Undirected,rank-8,130,rank-8,1.0
2,136,Undirected,rank-8,131,rank-8,2.0
2,141,Undirected,rank-8,132,rank-8,4.0
2,142,Undirected,rank-8,133,rank-8,2.0
3,5,Undirected,rank-8,134,rank-8,2.0
3,10,Undirected,rank-8,135,rank-8,4.0
3,14,Undirected,rank-8,136,rank-8,5.0
3,15,Undirected,rank-8,137,rank-8,8.0
